졸 업 사,정 조회
,전 공 구분 이 수 명 배당 취득 이수 그룹 잔여 수강 제 외 값
,재 학 ( 즐 업 직전) 및 수 업 연한 충족 Y Y
,졸 업 학점 130 118 N 12 16 0
,전 공 학점 42 32 N 10 11
,전공 100~300 단 위 24 Y 0 6
,전공 200~300 단 위 30 24 N 6 6
,전공 400 단 위 12 8 N 4 5
,영 어 전 용 강 좌 수 3 4 Y 0 1
,사 회 봉사 1 1 Y 0 0
,선 수 강 이 수 여부 Y Y Y Y
,졸 업 평 점 ( 성 적 증 명 평 점 과 상이) 1.75 3.96 Y 0
,주 전 공 ( 제 1 전 공 ) 미 필 과 목 이 수 여부 Y Y Y Y
,졸 업 논 문 / 시 험 / 작 품 N
,인 턴 십 이 수 여부
,핵 심 교양 10 14 Y 0 3
,고 전 읽 기 영역 2 3 Y 0 0
,클 로 벌 언 어 와 문 화 영 역 2 3 Y 0 0
,IC- 08Ｌ 강 좌수 2 6 Y 0 2
,미 래 산 업 과 창 업 영역 5 0 0
,과 학 과 기 술 영역 0 0
,6 Y 6 학 점
,인 문 과 예 술 영역 0 3
,사 회 와 세 계 영역 3 0 0
